indicator,date,rate
open,2021-08-27 16:55:00,19.74
high,2021-08-27 16:55:00,19.74
low,2021-08-27 16:55:00,19.74
close,2021-08-27 16:55:00,19.74
open,2021-08-27 16:01:00,19.75
high,2021-08-27 16:01:00,19.75
low,2021-08-27 16:01:00,19.75
close,2021-08-27 16:01:00,19.75
open,2021-08-27 16:00:00,19.73
high,2021-08-27 16:00:00,19.76
low,2021-08-27 16:00:00,19.73
close,2021-08-27 16:00:00,19.75
open,2021-08-27 15:59:00,19.725
high,2021-08-27 15:59:00,19.73
low,2021-08-27 15:59:00,19.72
close,2021-08-27 15:59:00,19.73
open,2021-08-27 15:58:00,19.72
high,2021-08-27 15:58:00,19.73
low,2021-08-27 15:58:00,19.71
close,2021-08-27 15:58:00,19.73
open,2021-08-27 15:57:00,19.71
high,2021-08-27 15:57:00,19.72
low,2021-08-27 15:57:00,19.7
close,2021-08-27 15:57:00,19.72
open,2021-08-27 15:56:00,19.705
high,2021-08-27 15:56:00,19.71
low,2021-08-27 15:56:00,19.7
close,2021-08-27 15:56:00,19.71
open,2021-08-27 15:55:00,19.71
high,2021-08-27 15:55:00,19.71
low,2021-08-27 15:55:00,19.705
close,2021-08-27 15:55:00,19.705
open,2021-08-27 15:54:00,19.695
high,2021-08-27 15:54:00,19.705
low,2021-08-27 15:54:00,19.695
close,2021-08-27 15:54:00,19.705
open,2021-08-27 15:53:00,19.6947
high,2021-08-27 15:53:00,19.7
low,2021-08-27 15:53:00,19.6947
close,2021-08-27 15:53:00,19.695
open,2021-08-27 15:52:00,19.6943
high,2021-08-27 15:52:00,19.695
low,2021-08-27 15:52:00,19.69
close,2021-08-27 15:52:00,19.695
open,2021-08-27 15:51:00,19.695
high,2021-08-27 15:51:00,19.695
low,2021-08-27 15:51:00,19.69
close,2021-08-27 15:51:00,19.69
open,2021-08-27 15:50:00,19.69
high,2021-08-27 15:50:00,19.7
low,2021-08-27 15:50:00,19.685
close,2021-08-27 15:50:00,19.695
open,2021-08-27 15:49:00,19.6863
high,2021-08-27 15:49:00,19.69
low,2021-08-27 15:49:00,19.68
close,2021-08-27 15:49:00,19.69
open,2021-08-27 15:48:00,19.685
high,2021-08-27 15:48:00,19.69
low,2021-08-27 15:48:00,19.685
close,2021-08-27 15:48:00,19.685
open,2021-08-27 15:47:00,19.685
high,2021-08-27 15:47:00,19.69
low,2021-08-27 15:47:00,19.685
close,2021-08-27 15:47:00,19.685
open,2021-08-27 15:46:00,19.685
high,2021-08-27 15:46:00,19.69
low,2021-08-27 15:46:00,19.685
close,2021-08-27 15:46:00,19.685
open,2021-08-27 15:45:00,19.68
high,2021-08-27 15:45:00,19.695
low,2021-08-27 15:45:00,19.68
close,2021-08-27 15:45:00,19.685
open,2021-08-27 15:44:00,19.675
high,2021-08-27 15:44:00,19.68
low,2021-08-27 15:44:00,19.67
close,2021-08-27 15:44:00,19.68
open,2021-08-27 15:43:00,19.674
high,2021-08-27 15:43:00,19.68
low,2021-08-27 15:43:00,19.67
close,2021-08-27 15:43:00,19.67
open,2021-08-27 15:42:00,19.68
high,2021-08-27 15:42:00,19.68
low,2021-08-27 15:42:00,19.67
close,2021-08-27 15:42:00,19.68
open,2021-08-27 15:41:00,19.68
high,2021-08-27 15:41:00,19.68
low,2021-08-27 15:41:00,19.68
close,2021-08-27 15:41:00,19.68
open,2021-08-27 15:40:00,19.68
high,2021-08-27 15:40:00,19.685
low,2021-08-27 15:40:00,19.68
close,2021-08-27 15:40:00,19.685
open,2021-08-27 15:38:00,19.69
high,2021-08-27 15:38:00,19.695
low,2021-08-27 15:38:00,19.68
close,2021-08-27 15:38:00,19.68
open,2021-08-27 15:37:00,19.69
high,2021-08-27 15:37:00,19.69
low,2021-08-27 15:37:00,19.69
close,2021-08-27 15:37:00,19.69
open,2021-08-27 15:36:00,19.695
high,2021-08-27 15:36:00,19.695
low,2021-08-27 15:36:00,19.69
close,2021-08-27 15:36:00,19.69
open,2021-08-27 15:35:00,19.695
high,2021-08-27 15:35:00,19.695
low,2021-08-27 15:35:00,19.695
close,2021-08-27 15:35:00,19.695
open,2021-08-27 15:34:00,19.695
high,2021-08-27 15:34:00,19.7
low,2021-08-27 15:34:00,19.69
close,2021-08-27 15:34:00,19.7
open,2021-08-27 15:33:00,19.71
high,2021-08-27 15:33:00,19.71
low,2021-08-27 15:33:00,19.695
close,2021-08-27 15:33:00,19.695
open,2021-08-27 15:32:00,19.715
high,2021-08-27 15:32:00,19.715
low,2021-08-27 15:32:00,19.715
close,2021-08-27 15:32:00,19.715
open,2021-08-27 15:31:00,19.715
high,2021-08-27 15:31:00,19.72
low,2021-08-27 15:31:00,19.715
close,2021-08-27 15:31:00,19.72
open,2021-08-27 15:29:00,19.715
high,2021-08-27 15:29:00,19.715
low,2021-08-27 15:29:00,19.715
close,2021-08-27 15:29:00,19.715
open,2021-08-27 15:28:00,19.7
high,2021-08-27 15:28:00,19.715
low,2021-08-27 15:28:00,19.69
close,2021-08-27 15:28:00,19.715
open,2021-08-27 15:27:00,19.7
high,2021-08-27 15:27:00,19.7
low,2021-08-27 15:27:00,19.695
close,2021-08-27 15:27:00,19.695
open,2021-08-27 15:26:00,19.705
high,2021-08-27 15:26:00,19.71
low,2021-08-27 15:26:00,19.7
close,2021-08-27 15:26:00,19.7
open,2021-08-27 15:25:00,19.7034
high,2021-08-27 15:25:00,19.705
low,2021-08-27 15:25:00,19.7
close,2021-08-27 15:25:00,19.7002
open,2021-08-27 15:24:00,19.705
high,2021-08-27 15:24:00,19.705
low,2021-08-27 15:24:00,19.705
close,2021-08-27 15:24:00,19.705
open,2021-08-27 15:23:00,19.705
high,2021-08-27 15:23:00,19.705
low,2021-08-27 15:23:00,19.705
close,2021-08-27 15:23:00,19.705
open,2021-08-27 15:22:00,19.705
high,2021-08-27 15:22:00,19.705
low,2021-08-27 15:22:00,19.705
